region	chr	midPos	Nsites	Fst
(82,794)(10110,109962)(10000,110000)	chr1	60000	714	0.114458
(138,846)(20228,114144)(20000,120000)	chr1	70000	710	0.114051
(215,862)(30741,126609)(30000,130000)	chr1	80000	649	0.109274
(267,886)(40016,138473)(40000,140000)	chr1	90000	621	0.103419
(391,908)(50216,144581)(50000,150000)	chr1	100000	519	0.112965
(417,909)(60298,158605)(60000,160000)	chr1	110000	494	0.116353
(550,909)(70102,158605)(70000,170000)	chr1	120000	361	0.126631
(629,909)(80011,158605)(80000,180000)	chr1	130000	282	0.127870
(683,913)(92651,186066)(90000,190000)	chr1	140000	232	0.106630
(699,925)(103823,195454)(100000,200000)	chr1	150000	228	0.112303
(795,925)(110054,195454)(110000,210000)	chr1	160000	132	0.133650
(847,933)(120300,219880)(120000,220000)	chr1	170000	88	0.155589
(863,933)(134584,219880)(130000,230000)	chr1	180000	72	0.169073
(887,934)(140858,231808)(140000,240000)	chr1	190000	49	0.145132
(909,963)(158605,248832)(150000,250000)	chr1	200000	56	0.161708
(910,977)(185700,259974)(160000,260000)	chr1	210000	69	0.182961
(910,978)(185700,260381)(170000,270000)	chr1	220000	70	0.181076
(910,981)(185700,276737)(180000,280000)	chr1	230000	73	0.175769
(914,1000)(195251,283722)(190000,290000)	chr1	240000	88	0.171621
(926,1007)(216333,297338)(200000,300000)	chr1	250000	83	0.170080
(926,1011)(216333,309652)(210000,310000)	chr1	260000	87	0.166313
(934,1027)(231808,319048)(220000,320000)	chr1	270000	95	0.161781
(934,1038)(231808,324399)(230000,330000)	chr1	280000	106	0.169957
(935,1038)(243643,324399)(240000,340000)	chr1	290000	105	0.170284
(964,1038)(250190,324399)(250000,350000)	chr1	300000	76	0.158176
(978,1046)(260381,359973)(260000,360000)	chr1	310000	70	0.129111
(979,1066)(276715,369549)(270000,370000)	chr1	320000	89	0.118294
(982,1098)(280775,379143)(280000,380000)	chr1	330000	118	0.120537
(1001,1122)(290689,388349)(290000,390000)	chr1	340000	123	0.169048
(1008,1151)(305479,399990)(300000,400000)	chr1	350000	145	0.198489
(1012,1206)(311070,407364)(310000,410000)	chr1	360000	196	0.256348
(1028,1227)(321542,419611)(320000,420000)	chr1	370000	201	0.253621
(1039,1279)(358165,429684)(330000,430000)	chr1	380000	242	0.225515
(1039,1289)(358165,435330)(340000,440000)	chr1	390000	252	0.223453
(1039,1331)(358165,449252)(350000,450000)	chr1	400000	294	0.207168
(1047,1437)(365453,459877)(360000,460000)	chr1	410000	392	0.169424
(1067,1535)(373060,469852)(370000,470000)	chr1	420000	470	0.164310
(1099,1628)(382929,479923)(380000,480000)	chr1	430000	531	0.183171
(1123,1700)(391031,489721)(390000,490000)	chr1	440000	579	0.194648
(1152,1751)(400054,499837)(400000,500000)	chr1	450000	601	0.178966
(1207,1798)(413855,509944)(410000,510000)	chr1	460000	593	0.145764
(1228,1828)(420522,519956)(420000,520000)	chr1	470000	602	0.144709
(1280,1873)(430175,529995)(430000,530000)	chr1	480000	595	0.144013
(1290,1955)(441586,538364)(440000,540000)	chr1	490000	667	0.129612
(1332,1988)(450004,547939)(450000,550000)	chr1	500000	658	0.130532
(1438,1991)(460106,559760)(460000,560000)	chr1	510000	555	0.145603
(1536,2091)(470077,569933)(470000,570000)	chr1	520000	557	0.143480
(1629,2160)(480029,579902)(480000,580000)	chr1	530000	533	0.130201
(1701,2217)(490064,589712)(490000,590000)	chr1	540000	518	0.093365
(1752,2307)(500009,599851)(500000,600000)	chr1	550000	557	0.093667
(1799,2373)(510036,609641)(510000,610000)	chr1	560000	576	0.096183
(1829,2470)(520435,619980)(520000,620000)	chr1	570000	643	0.092644
(1874,2546)(530433,629858)(530000,630000)	chr1	580000	674	0.088805
(1956,2608)(540023,639908)(540000,640000)	chr1	590000	654	0.112563
(1989,2638)(550042,649485)(550000,650000)	chr1	600000	651	0.112119
(1992,2663)(560928,659509)(560000,660000)	chr1	610000	673	0.111491
(2092,2691)(570031,668743)(570000,670000)	chr1	620000	601	0.114142
