region	chr	midPos	Nsites
(91,973)(10110,109962)(10000,110000)	chr1	60000	884	0.086471
(152,1071)(20228,119997)(20000,120000)	chr1	70000	921	0.085235
(235,1118)(30741,128035)(30000,130000)	chr1	80000	885	0.085364
(299,1175)(40016,138597)(40000,140000)	chr1	90000	878	0.085124
(441,1211)(50216,144606)(50000,150000)	chr1	100000	772	0.093673
(481,1213)(60015,158605)(60000,160000)	chr1	110000	734	0.095614
(639,1213)(70102,158605)(70000,170000)	chr1	120000	576	0.100852
(746,1213)(80011,158605)(80000,180000)	chr1	130000	469	0.097039
(833,1219)(92586,186066)(90000,190000)	chr1	140000	388	0.083582
(857,1236)(103823,198503)(100000,200000)	chr1	150000	381	0.085286
(974,1241)(110054,209105)(110000,210000)	chr1	160000	269	0.102436
(1072,1254)(120300,219880)(120000,220000)	chr1	170000	184	0.113637
(1119,1255)(130230,225179)(130000,230000)	chr1	180000	138	0.122996
(1176,1262)(140858,238392)(140000,240000)	chr1	190000	88	0.125813
(1212,1332)(158412,249999)(150000,250000)	chr1	200000	122	0.153855
(1214,1415)(185539,259974)(160000,260000)	chr1	210000	203	0.169538
(1214,1436)(185539,266129)(170000,270000)	chr1	220000	224	0.178731
(1214,1441)(185539,276737)(180000,280000)	chr1	230000	229	0.176444
(1220,1468)(190532,289330)(190000,290000)	chr1	240000	250	0.175711
(1237,1496)(208676,299023)(200000,300000)	chr1	250000	261	0.182048
(1242,1522)(216333,309901)(210000,310000)	chr1	260000	282	0.172207
(1255,1586)(225179,319403)(220000,320000)	chr1	270000	333	0.181361
(1256,1616)(231808,324443)(230000,330000)	chr1	280000	362	0.180334
(1263,1616)(243455,324443)(240000,340000)	chr1	290000	355	0.182219
(1333,1616)(250190,324443)(250000,350000)	chr1	300000	285	0.181456
(1416,1629)(260138,359973)(260000,360000)	chr1	310000	215	0.170341
(1437,1697)(270506,369910)(270000,370000)	chr1	320000	262	0.136257
(1442,1776)(280775,379967)(280000,380000)	chr1	330000	336	0.143468
(1469,1852)(290297,389439)(290000,390000)	chr1	340000	385	0.151785
(1497,1916)(302104,399990)(300000,400000)	chr1	350000	421	0.159880
(1523,2018)(310331,408351)(310000,410000)	chr1	360000	497	0.179141
(1587,2049)(320318,419803)(320000,420000)	chr1	370000	464	0.175420
(1617,2118)(356216,429684)(330000,430000)	chr1	380000	503	0.167213
(1617,2154)(356216,435330)(340000,440000)	chr1	390000	539	0.163136
(1617,2205)(356216,449376)(350000,450000)	chr1	400000	590	0.154959
(1630,2323)(364547,459877)(360000,460000)	chr1	410000	695	0.137855
(1698,2435)(370190,469852)(370000,470000)	chr1	420000	739	0.137365
(1777,2537)(380065,479923)(380000,480000)	chr1	430000	762	0.140755
(1853,2624)(390596,489721)(390000,490000)	chr1	440000	773	0.145494
(1917,2678)(400054,499837)(400000,500000)	chr1	450000	763	0.133449
(2019,2728)(410462,509944)(410000,510000)	chr1	460000	711	0.109868
(2050,2766)(420522,519956)(420000,520000)	chr1	470000	718	0.107655
(2119,2818)(430175,529995)(430000,530000)	chr1	480000	701	0.106088
(2155,2903)(441586,538364)(440000,540000)	chr1	490000	750	0.100244
(2206,2945)(450004,549470)(450000,550000)	chr1	500000	741	0.106301
(2324,2975)(460106,559760)(460000,560000)	chr1	510000	653	0.126810
(2436,3082)(470077,569933)(470000,570000)	chr1	520000	648	0.132199
(2538,3162)(480029,579902)(480000,580000)	chr1	530000	626	0.129454
