region	chr	midPos	Nsites	Fst
(89,897)(10099,109657)(10000,110000)	chr2	60000	810	0.091350
(119,944)(21279,119972)(20000,120000)	chr2	70000	827	0.098066
(156,1097)(30001,129915)(30000,130000)	chr2	80000	943	0.117400
(227,1212)(40237,139746)(40000,140000)	chr2	90000	987	0.129992
(320,1326)(50188,149998)(50000,150000)	chr2	100000	1008	0.138214
(419,1430)(60035,159965)(60000,160000)	chr2	110000	1013	0.138366
(532,1554)(70061,169935)(70000,170000)	chr2	120000	1024	0.141177
(596,1676)(80494,179900)(80000,180000)	chr2	130000	1082	0.140993
(670,1769)(90215,189956)(90000,190000)	chr2	140000	1101	0.138347
(809,1869)(100054,198728)(100000,200000)	chr2	150000	1062	0.142268
(898,1949)(110002,209719)(110000,210000)	chr2	160000	1053	0.130948
(945,2048)(120099,219954)(120000,220000)	chr2	170000	1105	0.122441
(1098,2200)(130028,229981)(130000,230000)	chr2	180000	1104	0.106929
(1213,2231)(140907,239940)(140000,240000)	chr2	190000	1020	0.098125
(1327,2297)(150016,249979)(150000,250000)	chr2	200000	972	0.088797
(1431,2343)(160090,259159)(160000,260000)	chr2	210000	914	0.089836
(1555,2371)(170117,269992)(170000,270000)	chr2	220000	818	0.088753
(1677,2389)(180095,278457)(180000,280000)	chr2	230000	714	0.082856
(1770,2397)(190202,289887)(190000,290000)	chr2	240000	629	0.087040
(1870,2410)(200102,298773)(200000,300000)	chr2	250000	542	0.090326
(1950,2440)(210023,309898)(210000,310000)	chr2	260000	492	0.094196
(2049,2496)(220219,319853)(220000,320000)	chr2	270000	449	0.108995
(2201,2619)(230005,329885)(230000,330000)	chr2	280000	420	0.100644
(2232,2741)(240429,339971)(240000,340000)	chr2	290000	511	0.096167
(2298,2789)(252060,343133)(250000,350000)	chr2	300000	493	0.094618
(2344,2879)(262483,359942)(260000,360000)	chr2	310000	537	0.092329
(2372,2927)(270016,369689)(270000,370000)	chr2	320000	557	0.081435
(2390,3006)(280662,376205)(280000,380000)	chr2	330000	618	0.076760
(2398,3116)(290119,389209)(290000,390000)	chr2	340000	720	0.072042
(2411,3216)(300182,398412)(300000,400000)	chr2	350000	807	0.073349
(2441,3257)(310662,404999)(310000,410000)	chr2	360000	818	0.076781
(2497,3353)(320102,419735)(320000,420000)	chr2	370000	858	0.071226
(2620,3442)(330041,429514)(330000,430000)	chr2	380000	824	0.076659
(2742,3504)(340014,435580)(340000,440000)	chr2	390000	764	0.074597
(2790,3504)(350884,435580)(350000,450000)	chr2	400000	716	0.076274
(2880,3504)(360950,435580)(360000,460000)	chr2	410000	626	0.079009
(2928,3504)(370244,435580)(370000,470000)	chr2	420000	578	0.082100
(3007,3504)(381346,435580)(380000,480000)	chr2	430000	499	0.084393
(3117,3544)(390370,489925)(390000,490000)	chr2	440000	429	0.090350
(3217,3640)(400036,499995)(400000,500000)	chr2	450000	425	0.083937
(3258,3672)(412719,509904)(410000,510000)	chr2	460000	416	0.077026
(3354,3706)(420000,519965)(420000,520000)	chr2	470000	354	0.087392
(3443,3761)(430627,529776)(430000,530000)	chr2	480000	320	0.086633
(3505,3783)(482102,536523)(440000,540000)	chr2	490000	280	0.079671
(3505,3783)(482102,536523)(450000,550000)	chr2	500000	280	0.079671
(3505,3906)(482102,559878)(460000,560000)	chr2	510000	403	0.078435
(3505,4023)(482102,569269)(470000,570000)	chr2	520000	520	0.073966
(3505,4086)(482102,579986)(480000,580000)	chr2	530000	583	0.077599
(3545,4113)(490028,587982)(490000,590000)	chr2	540000	570	0.078936
(3641,4121)(500028,596304)(500000,600000)	chr2	550000	482	0.082977
(3673,4121)(510029,596304)(510000,610000)	chr2	560000	450	0.083849
(3707,4132)(520096,617952)(520000,620000)	chr2	570000	427	0.078927
(3762,4160)(531416,629535)(530000,630000)	chr2	580000	400	0.078050
(3784,4194)(551667,638911)(540000,640000)	chr2	590000	412	0.080027
(3784,4213)(551667,647337)(550000,650000)	chr2	600000	431	0.083990
(3907,4217)(560020,659871)(560000,660000)	chr2	610000	312	0.089041
(4024,4274)(572909,669605)(570000,670000)	chr2	620000	252	0.102874
(4087,4277)(580042,678661)(580000,680000)	chr2	630000	192	0.102029
(4114,4295)(591198,688539)(590000,690000)	chr2	640000	183	0.101786
(4122,4298)(610258,698233)(600000,700000)	chr2	650000	178	0.101564
(4122,4298)(610258,698233)(610000,710000)	chr2	660000	178	0.101564
(4133,4315)(620528,719692)(620000,720000)	chr2	670000	184	0.109077
(4161,4405)(630074,729972)(630000,730000)	chr2	680000	246	0.097031
(4195,4499)(642787,739232)(640000,740000)	chr2	690000	306	0.099902
(4214,4500)(659724,749889)(650000,750000)	chr2	700000	288	0.095313
(4218,4567)(660013,759959)(660000,760000)	chr2	710000	351	0.093128
(4275,4574)(672715,766427)(670000,770000)	chr2	720000	301	0.091712
(4278,4574)(681342,766427)(680000,780000)	chr2	730000	298	0.091779
(4296,4574)(695436,766427)(690000,790000)	chr2	740000	280	0.092350
(4299,4574)(714554,766427)(700000,800000)	chr2	750000	277	0.092775
(4299,4577)(714554,808647)(710000,810000)	chr2	760000	280	0.092655
(4316,4585)(721005,819945)(720000,820000)	chr2	770000	271	0.086188
(4406,4588)(730068,822657)(730000,830000)	chr2	780000	184	0.095903
(4500,4588)(749889,822657)(740000,840000)	chr2	790000	90	0.080873
(4501,4632)(750097,848297)(750000,850000)	chr2	800000	133	0.066653
(4568,4635)(760513,858757)(760000,860000)	chr2	810000	69	0.042168
(4575,4646)(808410,867628)(770000,870000)	chr2	820000	73	0.041850
(4575,4646)(808410,867628)(780000,880000)	chr2	830000	73	0.041850
(4575,4654)(808410,885700)(790000,890000)	chr2	840000	81	0.051052
(4575,4654)(808410,885700)(800000,900000)	chr2	850000	81	0.051052
(4578,4660)(811085,902631)(810000,910000)	chr2	860000	84	0.049017
(4586,4660)(820117,902631)(820000,920000)	chr2	870000	76	0.047841
(4589,4660)(841494,902631)(830000,930000)	chr2	880000	73	0.047969
(4589,4663)(841494,936686)(840000,940000)	chr2	890000	76	0.050818
(4633,4663)(858679,936686)(850000,950000)	chr2	900000	32	0.068773
(4636,4663)(865186,936686)(860000,960000)	chr2	910000	29	0.071365
(4647,4677)(882359,969763)(870000,970000)	chr2	920000	32	0.217829
(4647,4705)(882359,979902)(880000,980000)	chr2	930000	60	0.224289
(4655,4807)(902315,989803)(890000,990000)	chr2	940000	154	0.162533
(4655,4890)(902315,999956)(900000,1000000)	chr2	950000	237	0.151726
