region	chr	midPos	Nsites	Fst
(24,120)(12616,63059)(10000,110000)	chr8	60000	98	0.098033
(39,155)(20147,118645)(20000,120000)	chr8	70000	118	0.094435
(57,171)(36059,129956)(30000,130000)	chr8	80000	116	0.095374
(64,294)(43710,139935)(40000,140000)	chr8	90000	232	0.077858
(78,379)(50839,147097)(50000,150000)	chr8	100000	303	0.066753
(119,379)(62852,147097)(60000,160000)	chr8	110000	262	0.059708
(121,379)(110345,147097)(70000,170000)	chr8	120000	260	0.059765
(121,386)(110345,176992)(80000,180000)	chr8	130000	267	0.059939
(121,392)(110345,188918)(90000,190000)	chr8	140000	273	0.059759
(121,404)(110345,193917)(100000,200000)	chr8	150000	285	0.059192
(121,408)(110345,206023)(110000,210000)	chr8	160000	289	0.059399
(156,421)(127083,217792)(120000,220000)	chr8	170000	267	0.060284
(172,485)(130010,229579)(130000,230000)	chr8	180000	315	0.068923
(295,538)(140000,239797)(140000,240000)	chr8	190000	245	0.068393
(380,608)(170584,249955)(150000,250000)	chr8	200000	230	0.082467
(380,662)(170584,259438)(160000,260000)	chr8	210000	284	0.082294
(380,696)(170584,269824)(170000,270000)	chr8	220000	318	0.079181
(387,704)(180862,276650)(180000,280000)	chr8	230000	319	0.082777
(393,742)(191573,289958)(190000,290000)	chr8	240000	351	0.087234
(405,789)(205244,295081)(200000,300000)	chr8	250000	386	0.093892
(409,789)(211174,295081)(210000,310000)	chr8	260000	382	0.094129
(422,856)(220883,319993)(220000,320000)	chr8	270000	436	0.093459
(486,936)(230466,329873)(230000,330000)	chr8	280000	452	0.088180
(539,1002)(240134,339492)(240000,340000)	chr8	290000	465	0.090772
(609,1095)(250358,349509)(250000,350000)	chr8	300000	488	0.085674
(663,1125)(260173,359649)(260000,360000)	chr8	310000	464	0.084563
(697,1176)(270543,369881)(270000,370000)	chr8	320000	481	0.087067
(705,1243)(281704,379312)(280000,380000)	chr8	330000	540	0.082703
(743,1295)(290052,389302)(290000,390000)	chr8	340000	554	0.078799
(790,1336)(311778,396964)(300000,400000)	chr8	350000	548	0.073419
(790,1348)(311778,407236)(310000,410000)	chr8	360000	560	0.073333
(857,1358)(320029,419909)(320000,420000)	chr8	370000	503	0.070565
(937,1405)(330138,429865)(330000,430000)	chr8	380000	470	0.080743
(1003,1451)(340028,439795)(340000,440000)	chr8	390000	450	0.081048
(1096,1513)(350296,449884)(350000,450000)	chr8	400000	419	0.085181
(1126,1603)(360214,459780)(360000,460000)	chr8	410000	479	0.083864
(1177,1677)(370332,469913)(370000,470000)	chr8	420000	502	0.082130
(1244,1761)(380334,479860)(380000,480000)	chr8	430000	519	0.084214
(1296,1805)(390423,489494)(390000,490000)	chr8	440000	511	0.085098
(1337,1807)(400529,493267)(400000,500000)	chr8	450000	472	0.086579
(1349,1809)(410441,509152)(410000,510000)	chr8	460000	462	0.086939
(1359,1809)(420022,509152)(420000,520000)	chr8	470000	452	0.087650
(1406,1809)(430638,509152)(430000,530000)	chr8	480000	405	0.077931
(1452,1809)(440025,509152)(440000,540000)	chr8	490000	359	0.076732
(1514,1809)(450287,509152)(450000,550000)	chr8	500000	297	0.075222
(1604,1809)(460023,509152)(460000,560000)	chr8	510000	207	0.077466
(1678,1809)(470432,509152)(470000,570000)	chr8	520000	133	0.079302
(1762,1815)(480244,579023)(480000,580000)	chr8	530000	55	0.084146
(1806,1815)(490066,579023)(490000,590000)	chr8	540000	11	0.122419
(1808,1815)(508840,579023)(500000,600000)	chr8	550000	9	0.140256
(1810,1815)(570419,579023)(510000,610000)	chr8	560000	7	0.165214
(1810,1818)(570419,615956)(520000,620000)	chr8	570000	10	0.123353
(1810,1818)(570419,615956)(530000,630000)	chr8	580000	10	0.123353
(1810,1845)(570419,639964)(540000,640000)	chr8	590000	37	0.103194
(1810,1846)(570419,640921)(550000,650000)	chr8	600000	38	0.103938
(1810,1846)(570419,640921)(560000,660000)	chr8	610000	38	0.103938
(1810,1846)(570419,640921)(570000,670000)	chr8	620000	38	0.103938
(1816,1846)(615585,640921)(580000,680000)	chr8	630000	32	0.092202
(1816,1846)(615585,640921)(590000,690000)	chr8	640000	32	0.092202
(1816,1846)(615585,640921)(600000,700000)	chr8	650000	32	0.092202
(1816,1847)(615585,700268)(610000,710000)	chr8	660000	33	0.090036
(1819,1847)(630178,700268)(620000,720000)	chr8	670000	30	0.094941
(1819,1871)(630178,729950)(630000,730000)	chr8	680000	54	0.082446
(1846,1929)(640921,738777)(640000,740000)	chr8	690000	85	0.050550
(1847,1956)(700268,748472)(650000,750000)	chr8	700000	111	0.045798
(1847,2022)(700268,759739)(660000,760000)	chr8	710000	177	0.059183
(1847,2076)(700268,769978)(670000,770000)	chr8	720000	231	0.060338
(1847,2139)(700268,779916)(680000,780000)	chr8	730000	294	0.062235
(1847,2178)(700268,784919)(690000,790000)	chr8	740000	333	0.062387
(1847,2185)(700268,797761)(700000,800000)	chr8	750000	340	0.063789
(1848,2185)(726690,797761)(710000,810000)	chr8	760000	339	0.063907
(1848,2185)(726690,797761)(720000,820000)	chr8	770000	339	0.063907
(1872,2209)(730216,829953)(730000,830000)	chr8	780000	339	0.062529
(1930,2210)(740862,830649)(740000,840000)	chr8	790000	282	0.066809
(1957,2210)(750060,830649)(750000,850000)	chr8	800000	255	0.069925
(2023,2210)(760013,830649)(760000,860000)	chr8	810000	189	0.065883
(2077,2210)(770013,830649)(770000,870000)	chr8	820000	135	0.066763
(2140,2210)(780016,830649)(780000,880000)	chr8	830000	72	0.064645
(2179,2210)(795955,830649)(790000,890000)	chr8	840000	33	0.066046
(2186,2211)(827749,894683)(800000,900000)	chr8	850000	27	0.047775
(2186,2214)(827749,909972)(810000,910000)	chr8	860000	30	0.046150
(2186,2296)(827749,919926)(820000,920000)	chr8	870000	112	0.068168
(2210,2371)(830649,929974)(830000,930000)	chr8	880000	163	0.082082
(2211,2414)(894683,939930)(840000,940000)	chr8	890000	205	0.083706
(2211,2432)(894683,948525)(850000,950000)	chr8	900000	223	0.080980
(2211,2500)(894683,959915)(860000,960000)	chr8	910000	291	0.082932
(2211,2591)(894683,969760)(870000,970000)	chr8	920000	382	0.080845
(2211,2658)(894683,979592)(880000,980000)	chr8	930000	449	0.079655
(2211,2726)(894683,989903)(890000,990000)	chr8	940000	517	0.078717
(2212,2799)(905050,999693)(900000,1000000)	chr8	950000	589	0.079482
(2215,2846)(910009,1009926)(910000,1010000)	chr8	960000	633	0.079320
(2297,2913)(920099,1019872)(920000,1020000)	chr8	970000	618	0.078500
(2372,2959)(930282,1029980)(930000,1030000)	chr8	980000	589	0.076062
(2415,3047)(940076,1039994)(940000,1040000)	chr8	990000	634	0.076972
(2433,3084)(950052,1049357)(950000,1050000)	chr8	1000000	653	0.077587
(2501,3146)(960720,1059482)(960000,1060000)	chr8	1010000	647	0.075339
(2592,3147)(970028,1065183)(970000,1070000)	chr8	1020000	557	0.075474
(2659,3147)(980072,1065183)(980000,1080000)	chr8	1030000	490	0.075844
(2727,3201)(990164,1089973)(990000,1090000)	chr8	1040000	476	0.076874
(2800,3215)(1000106,1097913)(1000000,1100000)	chr8	1050000	417	0.074279
(2847,3229)(1010087,1108039)(1010000,1110000)	chr8	1060000	384	0.074533
(2914,3257)(1021429,1119990)(1020000,1120000)	chr8	1070000	345	0.074889
(2960,3282)(1030541,1129765)(1030000,1130000)	chr8	1080000	324	0.076556
(3048,3308)(1040079,1139867)(1040000,1140000)	chr8	1090000	262	0.072186
(3085,3344)(1050920,1144563)(1050000,1150000)	chr8	1100000	261	0.075465
(3147,3344)(1065183,1144563)(1060000,1160000)	chr8	1110000	199	0.078103
(3148,3350)(1080042,1168900)(1070000,1170000)	chr8	1120000	204	0.077776
(3148,3361)(1080042,1178008)(1080000,1180000)	chr8	1130000	215	0.077125
(3202,3361)(1090054,1178008)(1090000,1190000)	chr8	1140000	161	0.075888
(3216,3361)(1101837,1178008)(1100000,1200000)	chr8	1150000	147	0.079292
(3230,3361)(1110722,1178008)(1110000,1210000)	chr8	1160000	133	0.079151
(3258,3363)(1120150,1211204)(1120000,1220000)	chr8	1170000	107	0.083648
(3283,3363)(1132859,1211204)(1130000,1230000)	chr8	1180000	82	0.082893
(3309,3363)(1140030,1211204)(1140000,1240000)	chr8	1190000	56	0.086480
(3345,3364)(1160015,1244283)(1150000,1250000)	chr8	1200000	21	0.065196
(3345,3364)(1160015,1244283)(1160000,1260000)	chr8	1210000	21	0.065196
(3351,3379)(1173054,1269742)(1170000,1270000)	chr8	1220000	30	0.057295
(3362,3436)(1211151,1279963)(1180000,1280000)	chr8	1230000	76	0.058218
(3362,3491)(1211151,1288246)(1190000,1290000)	chr8	1240000	131	0.058804
(3362,3519)(1211151,1299561)(1200000,1300000)	chr8	1250000	159	0.064839
(3362,3534)(1211151,1309077)(1210000,1310000)	chr8	1260000	174	0.065877
(3364,3543)(1244283,1316828)(1220000,1320000)	chr8	1270000	181	0.066504
(3364,3543)(1244283,1316828)(1230000,1330000)	chr8	1280000	181	0.066504
(3364,3543)(1244283,1316828)(1240000,1340000)	chr8	1290000	181	0.066504
(3365,3543)(1264921,1316828)(1250000,1350000)	chr8	1300000	180	0.066435
(3365,3544)(1264921,1353259)(1260000,1360000)	chr8	1310000	181	0.066367
(3380,3544)(1270014,1353259)(1270000,1370000)	chr8	1320000	166	0.067917
(3437,3544)(1280124,1353259)(1280000,1380000)	chr8	1330000	109	0.072177
(3492,3548)(1292314,1381021)(1290000,1390000)	chr8	1340000	58	0.083283
(3520,3549)(1301023,1391762)(1300000,1400000)	chr8	1350000	31	0.074452
(3535,3553)(1310113,1401411)(1310000,1410000)	chr8	1360000	20	0.072358
(3544,3553)(1353259,1401411)(1320000,1420000)	chr8	1370000	11	0.066487
(3544,3553)(1353259,1401411)(1330000,1430000)	chr8	1380000	11	0.066487
(3544,3555)(1353259,1435532)(1340000,1440000)	chr8	1390000	13	0.060095
(3544,3556)(1353259,1449994)(1350000,1450000)	chr8	1400000	14	0.061930
(3545,3566)(1380990,1456189)(1360000,1460000)	chr8	1410000	23	0.067316
(3545,3566)(1380990,1456189)(1370000,1470000)	chr8	1420000	23	0.067316
(3545,3566)(1380990,1456189)(1380000,1480000)	chr8	1430000	23	0.067316
(3549,3567)(1391762,1488554)(1390000,1490000)	chr8	1440000	20	0.068329
(3550,3586)(1401103,1496883)(1400000,1500000)	chr8	1450000	38	0.070356
(3554,3586)(1435526,1496883)(1410000,1510000)	chr8	1460000	34	0.070070
(3554,3587)(1435526,1511639)(1420000,1520000)	chr8	1470000	35	0.070800
(3554,3587)(1435526,1511639)(1430000,1530000)	chr8	1480000	35	0.070800
(3556,3587)(1449994,1511639)(1440000,1540000)	chr8	1490000	33	0.073498
(3557,3587)(1450096,1511639)(1450000,1550000)	chr8	1500000	32	0.073165
(3567,3629)(1488554,1559942)(1460000,1560000)	chr8	1510000	64	0.061234
(3567,3738)(1488554,1569964)(1470000,1570000)	chr8	1520000	173	0.061213
(3567,3784)(1488554,1574518)(1480000,1580000)	chr8	1530000	219	0.063087
(3568,3786)(1490793,1581304)(1490000,1590000)	chr8	1540000	220	0.063173
(3587,3786)(1511639,1581304)(1500000,1600000)	chr8	1550000	201	0.062176
(3587,3786)(1511639,1581304)(1510000,1610000)	chr8	1560000	201	0.062176
