region	chr	midPos	Nsites	Fst
(1,16)(103821,120660)(30000,130000)	chr14	80000	17	0.081155
(1,16)(103821,120660)(40000,140000)	chr14	90000	17	0.081155
(1,16)(103821,120660)(50000,150000)	chr14	100000	17	0.081155
(1,16)(103821,120660)(60000,160000)	chr14	110000	17	0.081155
(1,16)(103821,120660)(70000,170000)	chr14	120000	17	0.081155
(1,16)(103821,120660)(80000,180000)	chr14	130000	17	0.081155
(1,24)(103821,182654)(90000,190000)	chr14	140000	25	0.098739
(1,24)(103821,182654)(100000,200000)	chr14	150000	25	0.098739
(2,24)(114852,182654)(110000,210000)	chr14	160000	24	0.100971
(16,24)(120660,182654)(120000,220000)	chr14	170000	10	0.127489
(17,24)(182253,182654)(130000,230000)	chr14	180000	9	0.132451
(17,24)(182253,182654)(140000,240000)	chr14	190000	9	0.132451
(17,25)(182253,247052)(150000,250000)	chr14	200000	10	0.132188
(17,35)(182253,259842)(160000,260000)	chr14	210000	20	0.109294
(17,53)(182253,266197)(170000,270000)	chr14	220000	38	0.077414
(17,65)(182253,279622)(180000,280000)	chr14	230000	50	0.094459
(25,111)(247052,289888)(190000,290000)	chr14	240000	88	0.104258
(25,149)(247052,299884)(200000,300000)	chr14	250000	126	0.106213
(25,191)(247052,309906)(210000,310000)	chr14	260000	168	0.100403
(25,248)(247052,319801)(220000,320000)	chr14	270000	225	0.096598
(25,278)(247052,327135)(230000,330000)	chr14	280000	255	0.101720
(25,287)(247052,339871)(240000,340000)	chr14	290000	264	0.104043
(26,302)(255637,349970)(250000,350000)	chr14	300000	278	0.102011
(36,310)(261411,353959)(260000,360000)	chr14	310000	276	0.102554
(54,311)(275591,369018)(270000,370000)	chr14	320000	259	0.107964
(66,324)(280711,379399)(280000,380000)	chr14	330000	260	0.103397
(112,341)(290046,389209)(290000,390000)	chr14	340000	231	0.097060
(150,357)(301199,399754)(300000,400000)	chr14	350000	209	0.094455
(192,369)(310003,409782)(310000,410000)	chr14	360000	179	0.095378
(249,408)(320313,419790)(320000,420000)	chr14	370000	161	0.088877
(279,448)(331297,429458)(330000,430000)	chr14	380000	171	0.076229
(288,480)(340525,439685)(340000,440000)	chr14	390000	194	0.071606
(303,493)(350225,443882)(350000,450000)	chr14	400000	192	0.072642
(311,494)(369018,456023)(360000,460000)	chr14	410000	185	0.071458
(312,500)(370607,469928)(370000,470000)	chr14	420000	190	0.069576
(325,533)(380406,478319)(380000,480000)	chr14	430000	210	0.072147
(342,542)(391844,488532)(390000,490000)	chr14	440000	202	0.073604
(358,547)(400727,494755)(400000,500000)	chr14	450000	191	0.074433
(370,548)(410476,509308)(410000,510000)	chr14	460000	180	0.074477
(409,572)(420042,518789)(420000,520000)	chr14	470000	165	0.094249
