region	chr	midPos	Nsites
(35,441)(10110,109962)(10000,110000)	chr1	60000	408	0.058676
(59,491)(21056,119997)(20000,120000)	chr1	70000	434	0.060122
(78,527)(30741,128035)(30000,130000)	chr1	80000	451	0.061314
(122,549)(40016,138230)(40000,140000)	chr1	90000	429	0.060048
(179,573)(50278,144606)(50000,150000)	chr1	100000	396	0.059365
(203,573)(60015,144606)(60000,160000)	chr1	110000	372	0.059788
(267,573)(70155,144606)(70000,170000)	chr1	120000	308	0.061462
(325,573)(80011,144606)(80000,180000)	chr1	130000	250	0.061866
(388,574)(92586,186057)(90000,190000)	chr1	140000	188	0.062237
(398,586)(104100,198503)(100000,200000)	chr1	150000	190	0.062489
(442,592)(110054,209157)(110000,210000)	chr1	160000	152	0.063936
(492,597)(120488,219851)(120000,220000)	chr1	170000	107	0.057673
(528,597)(130230,219851)(130000,230000)	chr1	180000	71	0.053730
(550,598)(142376,238022)(140000,240000)	chr1	190000	50	0.055861
(574,638)(186057,249999)(150000,250000)	chr1	200000	66	0.052529
(574,699)(186057,259826)(160000,260000)	chr1	210000	127	0.067786
(574,709)(186057,263776)(170000,270000)	chr1	220000	137	0.067230
(574,710)(186057,271059)(180000,280000)	chr1	230000	138	0.067498
(575,711)(190532,283439)(190000,290000)	chr1	240000	138	0.067560
(587,724)(208676,297679)(200000,300000)	chr1	250000	139	0.070685
(593,744)(216526,309901)(210000,310000)	chr1	260000	153	0.071964
(598,792)(238022,319254)(220000,320000)	chr1	270000	196	0.077467
(598,820)(238022,324443)(230000,330000)	chr1	280000	224	0.078206
(599,820)(243455,324443)(240000,340000)	chr1	290000	223	0.078174
(639,820)(250190,324443)(250000,350000)	chr1	300000	183	0.083587
(700,824)(260138,356803)(260000,360000)	chr1	310000	126	0.083002
(710,869)(271059,369876)(270000,370000)	chr1	320000	161	0.074319
(711,912)(283439,379967)(280000,380000)	chr1	330000	203	0.071761
(712,960)(296793,389107)(290000,390000)	chr1	340000	250	0.067964
(725,977)(303149,399460)(300000,400000)	chr1	350000	254	0.066101
(745,981)(310331,408351)(310000,410000)	chr1	360000	238	0.064660
(793,998)(320318,419803)(320000,420000)	chr1	370000	207	0.059344
(821,1040)(356216,429540)(330000,430000)	chr1	380000	221	0.055239
(821,1072)(356216,435330)(340000,440000)	chr1	390000	253	0.056399
(821,1096)(356216,449548)(350000,450000)	chr1	400000	277	0.061781
(825,1141)(364547,459745)(360000,460000)	chr1	410000	318	0.059714
(870,1194)(370190,469460)(370000,470000)	chr1	420000	326	0.060040
(913,1216)(380065,479023)(380000,480000)	chr1	430000	305	0.060092
(961,1260)(390596,489721)(390000,490000)	chr1	440000	301	0.063001
(978,1278)(401546,498936)(400000,500000)	chr1	450000	302	0.067063
(982,1293)(413594,508002)(410000,510000)	chr1	460000	313	0.068341
(999,1307)(420566,518560)(420000,520000)	chr1	470000	310	0.066913
(1041,1331)(430175,529650)(430000,530000)	chr1	480000	292	0.070070
(1073,1361)(443128,537746)(440000,540000)	chr1	490000	290	0.068098
(1097,1386)(451144,549551)(450000,550000)	chr1	500000	291	0.061596
(1142,1398)(460245,559179)(460000,560000)	chr1	510000	258	0.067142
(1195,1444)(470077,569891)(470000,570000)	chr1	520000	251	0.079918
(1217,1471)(480476,576383)(480000,580000)	chr1	530000	256	0.090677
(1261,1496)(490356,589712)(490000,590000)	chr1	540000	237	0.095001
(1279,1522)(500917,599648)(500000,600000)	chr1	550000	245	0.092309
(1294,1560)(510036,609047)(510000,610000)	chr1	560000	268	0.088286
(1308,1603)(520489,619980)(520000,620000)	chr1	570000	297	0.085489
(1332,1645)(530433,629858)(530000,630000)	chr1	580000	315	0.082981
(1362,1686)(540099,639656)(540000,640000)	chr1	590000	326	0.098370
(1387,1699)(550042,644730)(550000,650000)	chr1	600000	314	0.105749
(1399,1710)(560342,659509)(560000,660000)	chr1	610000	313	0.103388
(1445,1731)(570167,668239)(570000,670000)	chr1	620000	288	0.099554
(1472,1747)(580224,679741)(580000,680000)	chr1	630000	277	0.091715
(1497,1776)(590012,689979)(590000,690000)	chr1	640000	281	0.089116
(1523,1798)(600311,699699)(600000,700000)	chr1	650000	277	0.089039
(1561,1826)(610399,709702)(610000,710000)	chr1	660000	267	0.091096
(1604,1843)(620473,718688)(620000,720000)	chr1	670000	241	0.099554
(1646,1864)(631043,729714)(630000,730000)	chr1	680000	220	0.105440
(1687,1932)(640051,739990)(640000,740000)	chr1	690000	247	0.079136
(1700,1959)(651341,749944)(650000,750000)	chr1	700000	261	0.077825
(1711,1995)(660192,759969)(660000,760000)	chr1	710000	286	0.076865
(1732,2045)(670269,769960)(670000,770000)	chr1	720000	315	0.073812
(1748,2070)(682393,779905)(680000,780000)	chr1	730000	324	0.072587
(1777,2138)(690204,788426)(690000,790000)	chr1	740000	363	0.069112
(1799,2166)(701126,799313)(700000,800000)	chr1	750000	369	0.068992
(1827,2219)(710084,809708)(710000,810000)	chr1	760000	394	0.069024
(1844,2235)(721708,819128)(720000,820000)	chr1	770000	393	0.067611
(1865,2261)(730188,829239)(730000,830000)	chr1	780000	398	0.074696
(1933,2287)(740021,838917)(740000,840000)	chr1	790000	356	0.079108
(1960,2317)(750204,848150)(750000,850000)	chr1	800000	359	0.074359
(1996,2336)(760240,857763)(760000,860000)	chr1	810000	342	0.074651
(2046,2379)(770150,869844)(770000,870000)	chr1	820000	335	0.076098
(2071,2439)(780004,879556)(780000,880000)	chr1	830000	370	0.075907
(2139,2469)(790909,889909)(790000,890000)	chr1	840000	332	0.080789
(2167,2484)(800964,898385)(800000,900000)	chr1	850000	319	0.082041
(2220,2507)(810018,909835)(810000,910000)	chr1	860000	289	0.090161
(2236,2535)(820074,919900)(820000,920000)	chr1	870000	301	0.094941
(2262,2568)(830206,929919)(830000,930000)	chr1	880000	308	0.081831
(2288,2587)(840359,938418)(840000,940000)	chr1	890000	301	0.080897
(2318,2604)(851912,949853)(850000,950000)	chr1	900000	288	0.083527
(2337,2616)(860049,957481)(860000,960000)	chr1	910000	281	0.084670
(2380,2617)(870093,968642)(870000,970000)	chr1	920000	239	0.087550
(2440,2628)(880789,979920)(880000,980000)	chr1	930000	190	0.091738
(2470,2647)(890449,989632)(890000,990000)	chr1	940000	179	0.097944
(2485,2657)(904207,997482)(900000,1000000)	chr1	950000	174	0.108775
(2508,2664)(910042,1009824)(910000,1010000)	chr1	960000	158	0.106542
(2536,2666)(920004,1011957)(920000,1020000)	chr1	970000	132	0.098773
(2569,2682)(930038,1029577)(930000,1030000)	chr1	980000	115	0.106460
(2588,2701)(941039,1039955)(940000,1040000)	chr1	990000	115	0.107546
(2605,2717)(950186,1049307)(950000,1050000)	chr1	1000000	114	0.106727
(2617,2735)(968642,1059448)(960000,1060000)	chr1	1010000	120	0.107643
(2618,2745)(970782,1069691)(970000,1070000)	chr1	1020000	129	0.108684
(2629,2766)(980022,1078596)(980000,1080000)	chr1	1030000	139	0.112000
(2648,2802)(990571,1089814)(990000,1090000)	chr1	1040000	156	0.107849
(2658,2866)(1004020,1098871)(1000000,1100000)	chr1	1050000	210	0.086338
(2665,2876)(1010209,1109418)(1010000,1110000)	chr1	1060000	213	0.081905
(2667,2941)(1020841,1119539)(1020000,1120000)	chr1	1070000	276	0.068126
(2683,2974)(1030529,1129217)(1030000,1130000)	chr1	1080000	293	0.065284
(2702,3037)(1040500,1139567)(1040000,1140000)	chr1	1090000	337	0.058065
(2718,3082)(1050621,1148862)(1050000,1150000)	chr1	1100000	366	0.054987
(2736,3101)(1061470,1159386)(1060000,1160000)	chr1	1110000	367	0.053138
(2746,3104)(1070145,1160671)(1070000,1170000)	chr1	1120000	360	0.051343
(2767,3104)(1080371,1160671)(1080000,1180000)	chr1	1130000	339	0.047908
(2803,3107)(1090185,1186956)(1090000,1190000)	chr1	1140000	306	0.041287
(2867,3119)(1100122,1193501)(1100000,1200000)	chr1	1150000	254	0.035015
(2877,3121)(1111775,1201108)(1110000,1210000)	chr1	1160000	246	0.034318
(2942,3121)(1121224,1201108)(1120000,1220000)	chr1	1170000	181	0.038137
(2975,3127)(1132640,1227701)(1130000,1230000)	chr1	1180000	154	0.039503
(3038,3137)(1140776,1236124)(1140000,1240000)	chr1	1190000	101	0.045229
(3083,3137)(1150414,1236124)(1150000,1250000)	chr1	1200000	56	0.054148
(3102,3137)(1160496,1236124)(1160000,1260000)	chr1	1210000	37	0.054711
(3105,3137)(1186349,1236124)(1170000,1270000)	chr1	1220000	34	0.055458
(3105,3137)(1186349,1236124)(1180000,1280000)	chr1	1230000	34	0.055458
(3108,3142)(1191460,1289842)(1190000,1290000)	chr1	1240000	36	0.058116
(3120,3148)(1201080,1297998)(1200000,1300000)	chr1	1250000	30	0.068697
(3122,3164)(1225321,1308674)(1210000,1310000)	chr1	1260000	44	0.057848
(3122,3197)(1225321,1319911)(1220000,1320000)	chr1	1270000	77	0.050611
(3128,3211)(1231578,1329910)(1230000,1330000)	chr1	1280000	85	0.058688
(3138,3299)(1284355,1339822)(1240000,1340000)	chr1	1290000	163	0.069037
(3138,3341)(1284355,1348395)(1250000,1350000)	chr1	1300000	205	0.062149
(3138,3364)(1284355,1359867)(1260000,1360000)	chr1	1310000	228	0.060942
(3138,3385)(1284355,1368414)(1270000,1370000)	chr1	1320000	249	0.058565
(3138,3409)(1284355,1379771)(1280000,1380000)	chr1	1330000	273	0.055979
(3143,3465)(1290815,1389997)(1290000,1390000)	chr1	1340000	324	0.055685
(3149,3505)(1300212,1399791)(1300000,1400000)	chr1	1350000	358	0.056749
(3165,3539)(1310707,1409576)(1310000,1410000)	chr1	1360000	376	0.060237
(3198,3569)(1320138,1418093)(1320000,1420000)	chr1	1370000	373	0.069858
(3212,3570)(1330194,1429505)(1330000,1430000)	chr1	1380000	360	0.068927
(3300,3610)(1340466,1438648)(1340000,1440000)	chr1	1390000	312	0.070168
(3342,3621)(1350026,1449750)(1350000,1450000)	chr1	1400000	281	0.074639
(3365,3643)(1361613,1458696)(1360000,1460000)	chr1	1410000	280	0.079558
(3386,3666)(1370148,1469056)(1370000,1470000)	chr1	1420000	282	0.084533
(3410,3675)(1380471,1479128)(1380000,1480000)	chr1	1430000	267	0.090663
(3466,3680)(1390947,1488893)(1390000,1490000)	chr1	1440000	216	0.099730
(3506,3682)(1400024,1493347)(1400000,1500000)	chr1	1450000	178	0.105749
(3540,3682)(1410022,1493347)(1410000,1510000)	chr1	1460000	144	0.110383
(3570,3716)(1429505,1519481)(1420000,1520000)	chr1	1470000	148	0.082713
(3571,3727)(1430030,1529799)(1430000,1530000)	chr1	1480000	158	0.080622
(3611,3738)(1441011,1539520)(1440000,1540000)	chr1	1490000	129	0.076727
(3622,3746)(1450505,1549918)(1450000,1550000)	chr1	1500000	126	0.076386
(3644,3767)(1462077,1559997)(1460000,1560000)	chr1	1510000	125	0.074197
(3667,3805)(1470916,1569565)(1470000,1570000)	chr1	1520000	140	0.065839
(3676,3862)(1484104,1579684)(1480000,1580000)	chr1	1530000	188	0.092322
(3681,3890)(1490855,1589940)(1490000,1590000)	chr1	1540000	211	0.100017
(3683,3918)(1511297,1599471)(1500000,1600000)	chr1	1550000	237	0.103619
(3683,3946)(1511297,1609960)(1510000,1610000)	chr1	1560000	265	0.101511
(3717,3972)(1520796,1619360)(1520000,1620000)	chr1	1570000	257	0.109118
(3728,4020)(1530655,1629136)(1530000,1630000)	chr1	1580000	294	0.106282
(3739,4036)(1547499,1638348)(1540000,1640000)	chr1	1590000	299	0.103848
(3747,4052)(1552055,1649193)(1550000,1650000)	chr1	1600000	307	0.102421
(3768,4090)(1560219,1657871)(1560000,1660000)	chr1	1610000	324	0.097061
(3806,4090)(1570189,1657871)(1570000,1670000)	chr1	1620000	286	0.102036
(3863,4092)(1580364,1678925)(1580000,1680000)	chr1	1630000	231	0.087273
(3891,4116)(1590346,1689693)(1590000,1690000)	chr1	1640000	227	0.086030
(3919,4125)(1600106,1697897)(1600000,1700000)	chr1	1650000	208	0.085215
(3947,4160)(1610055,1708074)(1610000,1710000)	chr1	1660000	215	0.108019
(3973,4179)(1620742,1719734)(1620000,1720000)	chr1	1670000	208	0.107018
(4021,4199)(1630235,1729840)(1630000,1730000)	chr1	1680000	180	0.107774
(4037,4214)(1643091,1739599)(1640000,1740000)	chr1	1690000	179	0.116303
(4053,4231)(1650093,1749976)(1650000,1750000)	chr1	1700000	180	0.119453
(4091,4263)(1678479,1759943)(1660000,1760000)	chr1	1710000	174	0.127490
(4091,4304)(1678479,1769914)(1670000,1770000)	chr1	1720000	215	0.124583
(4093,4331)(1680059,1779986)(1680000,1780000)	chr1	1730000	240	0.120602
(4117,4336)(1690367,1789803)(1690000,1790000)	chr1	1740000	221	0.117586
(4126,4345)(1700378,1799000)(1700000,1800000)	chr1	1750000	221	0.111612
(4161,4346)(1712577,1800016)(1710000,1810000)	chr1	1760000	187	0.090355
(4180,4347)(1720176,1818595)(1720000,1820000)	chr1	1770000	169	0.093673
(4200,4363)(1730394,1828641)(1730000,1830000)	chr1	1780000	165	0.096767
(4215,4368)(1743209,1839896)(1740000,1840000)	chr1	1790000	155	0.093432
(4232,4387)(1750489,1849869)(1750000,1850000)	chr1	1800000	157	0.105663
(4264,4406)(1760059,1859697)(1760000,1860000)	chr1	1810000	144	0.106258
(4305,4453)(1770377,1869747)(1770000,1870000)	chr1	1820000	150	0.101996
(4332,4482)(1780316,1879286)(1780000,1880000)	chr1	1830000	152	0.106175
(4337,4530)(1792464,1888889)(1790000,1890000)	chr1	1840000	195	0.093764
(4346,4579)(1800016,1899945)(1800000,1900000)	chr1	1850000	235	0.090043
(4347,4642)(1818595,1909898)(1810000,1910000)	chr1	1860000	297	0.086544
(4348,4677)(1820653,1919905)(1820000,1920000)	chr1	1870000	331	0.086059
(4364,4684)(1837629,1920968)(1830000,1930000)	chr1	1880000	322	0.085396
(4369,4724)(1840116,1939992)(1840000,1940000)	chr1	1890000	357	0.086096
(4388,4766)(1851431,1949790)(1850000,1950000)	chr1	1900000	380	0.080783
(4407,4807)(1860169,1959961)(1860000,1960000)	chr1	1910000	402	0.081260
(4454,4833)(1870494,1969675)(1870000,1970000)	chr1	1920000	381	0.078046
(4483,4841)(1883120,1979230)(1880000,1980000)	chr1	1930000	360	0.075269
(4531,4856)(1890884,1988412)(1890000,1990000)	chr1	1940000	327	0.077401
(4580,4893)(1900204,1999813)(1900000,2000000)	chr1	1950000	315	0.077987
(4643,4930)(1910229,2009851)(1910000,2010000)	chr1	1960000	289	0.078948
(4678,4967)(1920337,2017908)(1920000,2020000)	chr1	1970000	291	0.078135
(4685,5030)(1935032,2029203)(1930000,2030000)	chr1	1980000	347	0.074273
(4725,5061)(1940195,2036981)(1940000,2040000)	chr1	1990000	338	0.070851
(4767,5065)(1950422,2042465)(1950000,2050000)	chr1	2000000	300	0.068918
(4808,5065)(1960031,2042465)(1960000,2060000)	chr1	2010000	259	0.066463
(4834,5066)(1971591,2066481)(1970000,2070000)	chr1	2020000	234	0.066749
(4842,5068)(1980764,2073498)(1980000,2080000)	chr1	2030000	228	0.066911
(4857,5068)(1990071,2073498)(1990000,2090000)	chr1	2040000	213	0.067284
(4894,5068)(2000160,2073498)(2000000,2100000)	chr1	2050000	176	0.066294
(4931,5068)(2010080,2073498)(2010000,2110000)	chr1	2060000	139	0.062737
(4968,5068)(2020263,2073498)(2020000,2120000)	chr1	2070000	102	0.058405
(5031,5069)(2030224,2126192)(2030000,2130000)	chr1	2080000	40	0.067099
(5062,5069)(2042138,2126192)(2040000,2140000)	chr1	2090000	9	0.058909
